Well	Sample
26	standard 20 ng
26	standard 20 ng
27	standard 20 ng
27	standard 20 ng
28	standard 20 ng
28	standard 20 ng
29	standard 10 ng
29	standard 10 ng
30	standard 10 ng
30	standard 10 ng
31	standard 10 ng
31	standard 10 ng
32	standard 1 ng
32	standard 1 ng
33	standard 1 ng
33	standard 1 ng
34	standard 1 ng
34	standard 1 ng
35	standard 0.1 ng
35	standard 0.1 ng
36	standard 0.1 ng
36	standard 0.1 ng
37	standard 0.1 ng
37	standard 0.1 ng
38	standard 0.01 ng
38	standard 0.01 ng
39	standard 0.01 ng
39	standard 0.01 ng
40	standard 0.01 ng
40	standard 0.01 ng
41	1 +/+ 14701
41	1 +/+ 14701
42	1 +/+ 14701
42	1 +/+ 14701
43	1 +/+ 14701
43	1 +/+ 14701
44	2 +/+ 14701
44	2 +/+ 14701
45	2 +/+ 14701
45	2 +/+ 14701
46	2 +/+ 14701
46	2 +/+ 14701
50	3 +/+ 14701
50	3 +/+ 14701
51	3 +/+ 14701
51	3 +/+ 14701
52	3 +/+ 14701
52	3 +/+ 14701
53	4 +/+ 14701
53	4 +/+ 14701
54	4 +/+ 14701
54	4 +/+ 14701
55	4 +/+ 14701
55	4 +/+ 14701
56	c -/- 14611
56	c -/- 14611
57	c -/- 14611
57	c -/- 14611
58	c -/- 14611
58	c -/- 14611
59	d -/- 14611
59	d -/- 14611
60	d -/- 14611
60	d -/- 14611
61	d -/- 14611
61	d -/- 14611
62	c -/- 14700
62	c -/- 14700
63	c -/- 14700
63	c -/- 14700
64	c -/- 14700
64	c -/- 14700
65	d -/- 14700
65	d -/- 14700
66	d -/- 14700
66	d -/- 14700
67	d -/- 14700
67	d -/- 14700
68	c -/- 14702
68	c -/- 14702
69	c -/- 14702
69	c -/- 14702
70	c -/- 14702
70	c -/- 14702
74	d -/- 14702
74	d -/- 14702
75	d -/- 14702
75	d -/- 14702
76	d -/- 14702
76	d -/- 14702
77	c -/- 14671
77	c -/- 14671
78	c -/- 14671
78	c -/- 14671
79	c -/- 14671
79	c -/- 14671
80	d -/- 14671
80	d -/- 14671
81	d -/- 14671
81	d -/- 14671
82	d -/- 14671
82	d -/- 14671
83	c -/- 14816
83	c -/- 14816
84	c -/- 14816
84	c -/- 14816
85	c -/- 14816
85	c -/- 14816
86	d -/- 14816
86	d -/- 14816
87	d -/- 14816
87	d -/- 14816
88	d -/- 14816
88	d -/- 14816
89	c +/+ 14673
89	c +/+ 14673
90	c +/+ 14673
90	c +/+ 14673
91	c +/+ 14673
91	c +/+ 14673
92	d +/+ 14673
92	d +/+ 14673
93	d +/+ 14673
93	d +/+ 14673
94	d +/+ 14673
94	d +/+ 14673
98	c +/+ 14698
98	c +/+ 14698
99	c +/+ 14698
99	c +/+ 14698
100	c +/+ 14698
100	c +/+ 14698
101	d +/+ 14698
101	d +/+ 14698
102	d +/+ 14698
102	d +/+ 14698
103	d +/+ 14698
103	d +/+ 14698
104	c +/+ 14668
104	c +/+ 14668
105	c +/+ 14668
105	c +/+ 14668
106	c +/+ 14668
106	c +/+ 14668
107	d +/+ 14668
107	d +/+ 14668
108	d +/+ 14668
108	d +/+ 14668
109	d +/+ 14668
109	d +/+ 14668
110	c +/+ 14807
110	c +/+ 14807
111	c +/+ 14807
111	c +/+ 14807
112	c +/+ 14807
112	c +/+ 14807
113	d +/+ 14807
113	d +/+ 14807
114	d +/+ 14807
114	d +/+ 14807
115	d +/+ 14807
115	d +/+ 14807
116	ntc 14702
116	ntc 14702
117	ntc 14702
117	ntc 14702
118	ntc 14702
118	ntc 14702
122	standard 20 ng
122	standard 20 ng
123	standard 20 ng
123	standard 20 ng
124	standard 20 ng
124	standard 20 ng
125	standard 10 ng
125	standard 10 ng
126	standard 10 ng
126	standard 10 ng
127	standard 10 ng
127	standard 10 ng
128	standard 1 ng
128	standard 1 ng
129	standard 1 ng
129	standard 1 ng
