Well	Sample
26	20 ng standard
26	20 ng standard
27	20 ng standard
27	20 ng standard
28	20 ng standard
28	20 ng standard
29	10 ng Standard
29	10 ng Standard
30	10 ng Standard
30	10 ng Standard
31	10 ng Standard
31	10 ng Standard
32	1ng standard
32	1ng standard
33	1ng standard
33	1ng standard
34	1ng standard
34	1ng standard
35	0,1 ng Standard
35	0,1 ng Standard
36	0,1 ng Standard
36	0,1 ng Standard
37	0,1 ng Standard
37	0,1 ng Standard
38	0,01ng Standard
38	0,01ng Standard
39	0,01ng Standard
39	0,01ng Standard
40	0,01ng Standard
40	0,01ng Standard
41	c +/+ 14701
41	c +/+ 14701
42	c +/+ 14701
42	c +/+ 14701
43	c +/+ 14701
43	c +/+ 14701
44	d +/+ 14701
44	d +/+ 14701
45	d +/+ 14701
45	d +/+ 14701
46	d +/+ 14701
46	d +/+ 14701
50	c -/- 14611
50	c -/- 14611
51	c -/- 14611
51	c -/- 14611
52	c -/- 14611
52	c -/- 14611
53	d -/- 14611
53	d -/- 14611
54	d -/- 14611
54	d -/- 14611
55	d -/- 14611
55	d -/- 14611
56	c -/- 14700
56	c -/- 14700
57	c -/- 14700
57	c -/- 14700
58	c -/- 14700
58	c -/- 14700
59	d -/- 14700
59	d -/- 14700
60	d -/- 14700
60	d -/- 14700
61	d -/- 14700
61	d -/- 14700
62	c -/- 14702
62	c -/- 14702
63	c -/- 14702
63	c -/- 14702
64	c -/- 14702
64	c -/- 14702
65	d -/- 14702
65	d -/- 14702
66	d -/- 14702
66	d -/- 14702
67	d -/- 14702
67	d -/- 14702
68	c -/- 14671
68	c -/- 14671
69	c -/- 14671
69	c -/- 14671
70	c -/- 14671
70	c -/- 14671
74	d -/- 14671
74	d -/- 14671
75	d -/- 14671
75	d -/- 14671
76	d -/- 14671
76	d -/- 14671
77	c -/- 14816
77	c -/- 14816
78	c -/- 14816
78	c -/- 14816
79	c -/- 14816
79	c -/- 14816
80	d -/- 14816
80	d -/- 14816
81	d -/- 14816
81	d -/- 14816
82	d -/- 14816
82	d -/- 14816
83	c +/+ 14673
83	c +/+ 14673
84	c +/+ 14673
84	c +/+ 14673
85	c +/+ 14673
85	c +/+ 14673
86	d +/+ 14673
86	d +/+ 14673
87	d +/+ 14673
87	d +/+ 14673
88	d +/+ 14673
88	d +/+ 14673
89	c +/+ 14698
89	c +/+ 14698
90	c +/+ 14698
90	c +/+ 14698
91	c +/+ 14698
91	c +/+ 14698
92	d +/+ 14698
92	d +/+ 14698
93	d +/+ 14698
93	d +/+ 14698
94	d +/+ 14698
94	d +/+ 14698
98	c +/+ 14668
98	c +/+ 14668
99	c +/+ 14668
99	c +/+ 14668
100	c +/+ 14668
100	c +/+ 14668
101	d +/+ 14668
101	d +/+ 14668
102	d +/+ 14668
102	d +/+ 14668
103	d +/+ 14668
103	d +/+ 14668
104	c +/+ 14807
104	c +/+ 14807
105	c +/+ 14807
105	c +/+ 14807
106	c +/+ 14807
106	c +/+ 14807
107	d +/+ 14807
107	d +/+ 14807
108	d +/+ 14807
108	d +/+ 14807
109	d +/+ 14807
109	d +/+ 14807
110	NTC
110	NTC
111	NTC
111	NTC
112	NTC
112	NTC
113	wasser control ntc
113	wasser control ntc
114	wasser control ntc
114	wasser control ntc
115	wasser control ntc
115	wasser control ntc
122	20 ng standard
122	20 ng standard
123	20 ng standard
123	20 ng standard
124	20 ng standard
124	20 ng standard
125	10 ng Standard
125	10 ng Standard
126	10 ng Standard
126	10 ng Standard
127	10 ng Standard
127	10 ng Standard
128	1ng standard
128	1ng standard
129	1ng standard
129	1ng standard
130	1ng standard
130	1ng standard
131	0,1 ng Standard
131	0,1 ng Standard
132	0,1 ng Standard
132	0,1 ng Standard
133	0,1 ng Standard
133	0,1 ng Standard
134	0,01ng Standard
134	0,01ng Standard
135	0,01ng Standard
135	0,01ng Standard
136	0,01ng Standard
